epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2330.62,0.84238,3.40231,1.5529,0.03795,0.75787,0.05813,0.0328,1.37602,3.86351,2.65486,0.0803048,0.000198942,0.000198942
2,2682.18,0.66017,2.42387,1.32313,0.21816,0.53137,0.2799,0.2326,0.62299,2.09381,1.50194,0.0604969,0.000391043,0.000391043
3,3788.56,0.60562,2.0307,1.26425,0.45174,0.5996,0.49165,0.43587,0.42352,1.7559,1.30277,0.040681,0.000575224,0.000575224
4,4713.81,0.55821,1.7967,1.22582,0.47214,0.5887,0.51221,0.45093,0.44037,1.80983,1.3668,0.0208573,0.000751485,0.000751485
5,49336.2,0.55944,1.6419,1.22542,0.54804,0.683,0.68353,0.6254,0.38955,1.26607,1.29864,0.00102565,0.000919826,0.000919826
6,49593.1,0.54541,1.59419,1.21241,0.65923,0.74599,0.77495,0.73785,0.301,1.05509,1.17814,0.000901,0.000901,0.000901
7,49878.7,0.52488,1.48421,1.19642,0.84478,0.80389,0.89164,0.82426,0.37639,0.73352,1.27914,0.0008812,0.0008812,0.0008812
8,50122.3,0.50845,1.42447,1.18388,0.78099,0.81626,0.87375,0.80603,0.34623,0.81299,1.23468,0.0008614,0.0008614,0.0008614
9,50386.7,0.4884,1.37314,1.16479,0.81797,0.82738,0.90359,0.86188,0.30266,0.72051,1.19396,0.0008416,0.0008416,0.0008416
10,50626.6,0.47435,1.30178,1.1569,0.91235,0.86777,0.95434,0.91194,0.31793,0.55282,1.18585,0.0008218,0.0008218,0.0008218
11,50888,0.46703,1.26693,1.14845,0.8969,0.89465,0.93611,0.91216,0.25657,0.52809,1.12647,0.000802,0.000802,0.000802
12,51127.4,0.45887,1.25079,1.1396,0.91414,0.91101,0.96287,0.93824,0.25783,0.47241,1.12519,0.0007822,0.0007822,0.0007822
13,51395.7,0.45251,1.23404,1.13412,0.94731,0.94801,0.98014,0.94538,0.28376,0.4207,1.16595,0.0007624,0.0007624,0.0007624
14,51637.1,0.44112,1.19803,1.1259,0.93147,0.91422,0.97252,0.94199,0.26272,0.44903,1.15701,0.0007426,0.0007426,0.0007426
15,51917.6,0.43805,1.1616,1.12381,0.93246,0.93303,0.97921,0.95339,0.24552,0.41623,1.12994,0.0007228,0.0007228,0.0007228
16,52161.3,0.42905,1.13065,1.12024,0.94243,0.92615,0.97771,0.9204,0.34281,0.4392,1.24647,0.000703,0.000703,0.000703
17,52487.3,0.42468,1.13309,1.11617,0.95481,0.94841,0.98297,0.96998,0.2162,0.35235,1.08759,0.0006832,0.0006832,0.0006832
18,52738.8,0.41527,1.11273,1.10677,0.92934,0.94638,0.97997,0.96783,0.21486,0.34952,1.08864,0.0006634,0.0006634,0.0006634
19,53018,0.41502,1.08627,1.10719,0.96849,0.96097,0.98767,0.97423,0.22535,0.29171,1.0948,0.0006436,0.0006436,0.0006436
20,53281.6,0.41128,1.06984,1.10401,0.97246,0.96496,0.98817,0.97563,0.23067,0.28622,1.10138,0.0006238,0.0006238,0.0006238
21,53753.2,0.4023,1.05816,1.09711,0.95506,0.95465,0.98562,0.96953,0.22639,0.32653,1.09033,0.000604,0.000604,0.000604
22,54043,0.40229,1.05335,1.10156,0.93754,0.95364,0.98202,0.93495,0.29749,0.41293,1.15334,0.0005842,0.0005842,0.0005842
23,54439.2,0.39599,1.02899,1.0911,0.96905,0.96104,0.98706,0.97448,0.22015,0.29416,1.09995,0.0005644,0.0005644,0.0005644
